,rank,maxIter,regParam,spark_fit_t,spark_pred_t,spark_precision,spark_recall,spark_RMSE,spark_R2,lk_precision,lk_recall,lk_RMSE,lk_R2,lk_fit_t,lk_pred_t
78,40.0,10.0,0.0001,8.825533628463745,0.09507513046264601,0.888066840800605,0.075767110798689,1.374345696606752,-0.862047397683763,0.9199682780362276,0.0691804493639562,1.955784964640872,-2.969347117349071,5.15,4.577
81,80.0,10.0,0.0001,11.491266965866089,0.06774425506591701,0.8921852659877071,0.079711892254559,1.045006494779011,-0.07655627578642901,0.9257650489694984,0.1046694020658148,1.198895596381672,-0.4915561364968448,12.692,5.164
82,80.0,10.0,0.001,12.493412494659424,0.067939043045043,0.8979829935455411,0.071628386954527,0.9527376160186191,0.10516001359049701,0.9223199540918487,0.1009433054736073,0.9586104987313482,0.0464109941222334,11.726,4.992
83,100.0,10.0,0.0001,16.482352018356323,0.06459903717041,0.908248306375626,0.08892250813690801,0.9921473423602921,0.029599292388485004,0.9324069609412324,0.1084035485621609,1.0522544941329923,-0.1489958279025554,20.508,5.168
84,100.0,10.0,0.001,18.23041272163391,0.06567668914794901,0.9335107861656531,0.07058048523181201,0.9250863185015901,0.15634812930918002,0.9365200590933688,0.1037847606989995,0.918833945050912,0.123905536845617,19.95,5.269
85,120.0,10.0,0.0001,22.874109268188477,0.061316013336181,0.9018268369943011,0.082653870690018,0.9674560624577381,0.077298432050316,0.9425974290188112,0.110388766396555,1.0051059499876065,-0.0483361477921924,25.598,5.651
86,120.0,10.0,0.001,23.375545501708984,0.06857681274414,0.9307082785056351,0.076266747919617,0.9138262602852931,0.176760830450908,0.9333023148171268,0.1010931284846563,0.9034791195960332,0.1529420689182314,27.258,5.807
87,140.0,10.0,0.0001,32.21955418586731,0.05779266357421801,0.8892998163452701,0.07447117820019801,0.9433441685336451,0.12271824770931201,0.9414831713118904,0.0985300530359506,0.8906052609752257,0.1769098855734765,42.215,5.851
88,140.0,10.0,0.001,35.29561233520508,0.06499290466308501,0.915699691722419,0.07282640532967101,0.900178432684646,0.20116706001433002,0.9522148531367342,0.081076747768245,0.8659420252011025,0.2218657935276933,42.874,5.918
89,160.0,10.0,0.0001,43.46623229980469,0.056150674819946005,0.9060959161566831,0.08355560215195501,0.943026653460849,0.12330870729105801,0.9389864222447368,0.1011304361544822,0.8868157349054812,0.1838994816396052,53.104,6.137
90,160.0,10.0,0.001,56.26041650772095,0.057402610778808004,0.912084148727984,0.073200947238094,0.900420729373242,0.20073696611706002,0.9488344082858852,0.080436004678455,0.8652415741325502,0.2231241329547908,52.751,5.861
91,180.0,10.0,0.0001,65.03254866600037,0.054872035980224006,0.9158943965517241,0.082884862730459,0.9333376330945281,0.14123109156725902,0.941387128539398,0.1033179992693492,0.8848896101280403,0.1874407006465384,92.544,9.401
92,180.0,10.0,0.001,57.004719972610474,0.060264110565185006,0.9303652230122811,0.072737160945821,0.8992850514802111,0.20275187513858803,0.9511658343228238,0.0825155938410575,0.8655764680605359,0.2225226330537832,77.486,7.979
93,200.0,10.0,0.0001,92.22595238685608,0.051744699478149005,0.9016727424622161,0.08683294176836301,0.9336336295016281,0.14068630946610802,0.9464795567236808,0.0989454445827522,0.8765069083102727,0.2027627912056527,113.102,8.731
94,200.0,10.0,0.001,100.22530508041382,0.05446052551269501,0.9259785965668311,0.07632801795806901,0.897684923007506,0.205586492426221,0.9383035715768754,0.1079532486301786,0.9120429724366153,0.1368078625717244,107.932,8.618
95,220.0,10.0,0.0001,116.3568046092987,0.050864696502685006,0.911303515378405,0.08551436061845401,0.924643216103856,0.157156128803306,0.9371703322703392,0.1099545358,0.9035158271,0.1528732372,157.724,7.518
96,220.0,10.0,0.001,109.53166317939758,0.052935600280761004,0.92819069069069,0.07874555857420201,0.8956603550790411,0.209165767073336,0.9402598704955358,0.1031506596,0.8817047764,0.1932791898,160.225,7.356
98,40.0,10.0,1e-05,3.232070684432983,0.11584210395812901,0.872873675968576,0.073006878728718,1.7407767429894112,-1.987341756609943,0.9227703191596632,0.067094912865435,2.8903296342728093,-7.669052330413489,5.269,4.423
99,60.0,10.0,1e-05,7.9577317237854,0.07978796958923301,0.8870448575387311,0.088826673902596,1.358718170622677,-0.8199419035903031,0.9229547901065852,0.0939591683785709,2.0765245248152,-3.4745668684178552,7.893,4.645
100,80.0,10.0,1e-05,9.562172174453735,0.06864309310913,0.9011206817296901,0.08993272566557901,1.153953799675228,-0.312730575687509,0.921102086745528,0.1042610950970486,1.531690785529059,-1.4345520977185546,12.609,5.198
101,100.0,10.0,1e-05,13.010417938232422,0.063981533050537,0.9075185086337051,0.09065458019848201,1.060637518452399,-0.109003020248864,0.926947562783626,0.1089842611324904,1.2605412098640767,-0.6488872876194096,22.522,5.36
