,num_recs,n_trees,search_k,build_time,inference_time,MAP,precisionAt100,recallAt100,ndgcAt100,Custom Precision,Custom Recall
105,100,268,129,1.252815723419189,0.19555926322937,0.00046460004791700003,0.005606557377049,0.007358343443332,0.008072256551729001,0.8643146937450731,0.007611863073753
106,100,268,215,1.265846967697143,0.18949508666992101,0.00044216119531400005,0.005836065573770001,0.007501112699307,0.008126429454258,0.9023007856341191,0.0077973581260040005
107,100,268,359,1.260855913162231,0.204765081405639,0.000410186985184,0.0062295081967210005,0.008213219543221,0.008425748731768,0.8992515516611901,0.008214233089781
108,100,268,599,1.286157846450805,0.22368931770324701,0.000394353364742,0.005901639344262,0.007754766613624,0.008060560146981,0.913312961548255,0.008120498020347
109,100,268,1000,1.287086009979248,0.252438068389892,0.00042374115017100003,0.006295081967213001,0.008355268003628001,0.008524684235603,0.8963412534435261,0.008342338658302001
110,100,372,10,1.620326042175293,0.18470287322998002,0.000416183096343,0.004622950819672,0.006692170745306001,0.007065420045078001,0.855208333333333,0.006626760027485
111,100,372,16,1.596509933471679,0.188513755798339,0.00042076430037100006,0.004918032786885,0.006773437151417001,0.007270551886201001,0.856848912404467,0.006714018814662001
112,100,372,27,1.562894105911254,0.299791812896728,0.00041816671763200003,0.004819672131147,0.0067594918873040005,0.007163211186146001,0.8614540466392321,0.006714230312976001
113,100,372,46,1.4229927062988281,0.227871894836425,0.000420706043673,0.004819672131147,0.0067586357949740005,0.007242522211732,0.856521050965495,0.0066936952924400005
114,100,372,77,1.5900249481201172,0.202296018600463,0.00044519472510700004,0.005081967213114,0.006905884161672001,0.007590262631459001,0.8631705846895721,0.006796526523831001
115,100,372,129,1.623723030090332,0.212366104125976,0.00046224740011500005,0.005540983606557,0.007610988822207,0.008083071074898,0.856924580342301,0.007534680125214001
116,100,372,215,1.650814056396484,0.22474479675292902,0.00045341159931500005,0.006032786885245001,0.00802866425811,0.008430880921038001,0.872308280742015,0.008090937763537
117,100,372,359,1.584809064865112,0.24266004562377902,0.000392036776689,0.006098360655737001,0.007810912865788001,0.008254065891377001,0.8710485251182921,0.008015544025789
118,100,372,599,1.5809438228607169,0.28067922592163,0.00043326242125,0.005836065573770001,0.00742812498333,0.008070744225891,0.9003157626687031,0.007750980596665001
119,100,372,1000,1.652449607849121,0.31925892829895003,0.00045592829271900006,0.006163934426229,0.007969568630709,0.008462897116791001,0.901731601731601,0.008153836445757
120,100,517,10,2.004576921463012,0.255692958831787,0.00045126535587500005,0.004819672131147,0.0070433786441560006,0.007356839692593001,0.8667582417582411,0.007129345139255
121,100,517,16,2.069712877273559,0.24044418334960901,0.000449260140144,0.004754098360655001,0.007034026365622,0.007256625055075,0.8678266178266171,0.007122650757850001
122,100,517,27,2.001904010772705,0.22724008560180603,0.000453569956212,0.005016393442622001,0.007061827601297001,0.007479708165056001,0.8652874902874901,0.007140784439350001
123,100,517,46,2.026851177215576,0.24240684509277302,0.00044849986281400003,0.004754098360655001,0.007028366334062001,0.007238579550754001,0.864138176638176,0.007105794615333
124,100,517,77,2.08392596244812,0.24189019203186002,0.00047732271049100004,0.005377049180327001,0.007474628598158,0.007855111426398,0.8717818428184281,0.007628325584743001
125,100,517,129,2.051463365554809,0.26205897331237704,0.00041599014417200006,0.005737704918032001,0.007672977453904,0.008004861391267,0.873379231210556,0.008111419451891
126,100,517,215,2.012836933135986,0.279858827590942,0.000405499905432,0.005606557377049,0.007367400581362001,0.007817685213829001,0.8778670634920631,0.00741336990153
127,100,517,359,1.9934160709381101,0.30288481712341303,0.000409071373453,0.0055081967213110004,0.007509676337263,0.0077926159062240005,0.881158611036659,0.007578916991309001
128,100,517,599,2.01896595954895,0.33880591392517,0.00042138820104000005,0.006065573770491,0.008178737689254001,0.008355673790904001,0.8903468179330241,0.008408294862331
129,100,517,1000,1.9836170673370361,0.37365603446960405,0.00044386259175600005,0.005737704918032001,0.007733734616461,0.008076552484065,0.9097299525870951,0.007926638238553
130,100,719,10,2.606987953186035,0.295098781585693,0.000495829182542,0.004655737704918001,0.007162695381641,0.007500844959651001,0.8912899336949971,0.007223337191006001
131,100,719,16,2.574750900268554,0.374492168426513,0.00048976279898,0.004393442622950001,0.007131469776645001,0.0072079489219,0.8862266425557561,0.0071870698280060005
132,100,719,27,2.66954493522644,0.297908067703247,0.000491902347446,0.004524590163934,0.0071404001478770004,0.007290193591248001,0.8913502109704641,0.0072083782468800005
133,100,719,46,2.471486091613769,0.421104907989501,0.000495678549992,0.004622950819672,0.007188739786380001,0.0073889322951710005,0.8927083333333331,0.007260910545411001
134,100,719,77,2.651324033737182,0.30762481689453103,0.0005011867302650001,0.005180327868852,0.007344187172809001,0.007746213372061001,0.8764930555555551,0.007367557662428001
135,100,719,129,2.569773912429809,0.338990688323974,0.00043306930953400006,0.005475409836065001,0.007201609815583001,0.007687591037358001,0.858815192743764,0.007526064620471001
136,100,719,215,2.645477771759033,0.343868970870971,0.000428296579801,0.0055081967213110004,0.007083311150374001,0.007707991486615001,0.8825702075702071,0.007438434715851001
137,100,719,359,2.526844978332519,0.454454898834228,0.000406028771746,0.005540983606557,0.007355923055176,0.007743605859923001,0.8982884399551061,0.007775651277100001
138,100,719,599,2.671576738357544,0.412679195404052,0.000412783796905,0.0057704918032780005,0.007682100417844001,0.008059297273925,0.9090386624869381,0.008063981406742
139,100,719,1000,2.537907361984253,0.572534561157226,0.00039355246920300005,0.006032786885245001,0.008637719696636001,0.008380316607454,0.895873174444603,0.00901502165281
140,100,1000,10,3.427901268005371,0.40098619461059504,0.000471967066388,0.0049508196721310006,0.005933278293758001,0.007315798202901001,0.881306306306306,0.005952445323985
141,100,1000,16,3.429704904556274,0.38766479492187506,0.00047089303253200005,0.004885245901639,0.005925471892509001,0.007263280027284,0.8774453024453021,0.005934311642485
142,100,1000,27,3.406264781951904,0.38977384567260703,0.000472548712367,0.0049508196721310006,0.005933278293758001,0.007318993358055001,0.879804804804804,0.00594791190361
143,100,1000,46,3.484800577163696,0.38414287567138605,0.00047356102746700003,0.0049508196721310006,0.005967506360773,0.0073134851111260005,0.8809841269841271,0.005984682979986
144,100,1000,77,3.418538093566894,0.40345215797424305,0.00047062483843300006,0.005114754098360001,0.006139414648637,0.007316161012549001,0.860576923076923,0.0060754955923200005
145,100,1000,129,3.493440151214599,0.439981222152709,0.00044839894730200005,0.005803278688524,0.007089673655243001,0.00803107414922,0.8673316762602471,0.0074706404797710005
146,100,1000,215,3.432788848876953,0.47070193290710405,0.000461528850805,0.005901639344262,0.007470606762591,0.008170351709051001,0.8882107971393681,0.007861833888169
147,100,1000,359,3.266946077346801,0.540545940399169,0.000417815755665,0.005967213114754,0.0071801355108050005,0.008013470506343,0.9023428952000381,0.007635055072116001
148,100,1000,599,3.26236081123352,0.589424848556518,0.00041616688119600005,0.005737704918032001,0.007614871510309,0.007978279012882,0.8907744694330051,0.007850725953789
149,100,1000,1000,3.427460193634033,0.616371870040893,0.000438741272281,0.006196721311475001,0.008481234638746001,0.008562113649322,0.9060772560772561,0.008921561032525002
